name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,two_year_period,candidate_election_year,address_city,address_state,address_street_1,address_street_2,address_zip,candidate_inactive,active_through,candidate_id,election_year,cycle,is_election,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,coverage_start_date,coverage_end_date,federal_funds_flag,has_raised_funds,party,office,candidate_inactive
Cynthia Jean Breyman,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-10-25 21:28:14,2019-10-21,2019-10-21,2019-10-21,H0TX11289,2020,2020,ANDREWS,TX,1601 NE 1001,,79714,f,2020,H0TX11289,2020,2020,t,19292.73,19792.73,4500,0,2019-10-01 00:00:00,2019-12-31 00:00:00,f,t,REP,H,f
Ross Alan Schumann,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-08-23 22:05:29,2019-08-09,2019-08-09,2019-08-09,H0TX11180,2020,2020,SAN ANGELO,TX,8102 SENTINEL CIRCLE,,76904,f,2020,H0TX11180,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
Brandon Batch,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-10-18 21:29:17,2019-10-01,2019-10-01,2019-10-01,H0TX11263,2020,2020,MIDLAND,TX,P.O. BOX 52742,,79710,f,2020,H0TX11263,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
Jon Mark Hogg,H,House,DEM,DEMOCRATIC PARTY,TX,11,11,{11},{2020},{2020},C,C,Challenger,2019-10-29 21:19:43,2019-08-19,2019-08-19,2019-08-19,H0TX11198,2020,2020,SAN ANGELO,TX,P.O. BOX 648,,76902,f,2020,H0TX11198,2020,2020,t,9767.05,2279.1,7487.95,0,2019-07-01 00:00:00,2019-09-30 00:00:00,f,t,DEM,H,f
August Pfluger,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},C,C,Challenger,2019-10-29 21:19:43,2019-09-12,2019-09-12,2019-09-12,H0TX11230,2020,2020,SAN ANGELO,TX,PO BOX 3530,,76902,f,2020,H0TX11230,2020,2020,t,704910,5133.58,699776.42,18096.56,2019-07-01 00:00:00,2019-09-30 00:00:00,f,t,REP,H,f
Wesley Virdell,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-09-18 21:12:14,2019-09-12,2019-09-12,2019-09-12,H0TX11222,2020,2020,BRADY,TX,PO BOX 147/106 PARKVIEW DRIVE,,76825,f,2020,H0TX11222,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
Richard Bartlett,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},C,C,Challenger,2019-10-08 21:11:19,2019-09-04,2019-09-04,2019-09-04,H0TX11214,2020,2020,MIDLAND,TX,1713 CASTLEFORD ROAD,,79705,f,2020,H0TX11214,2020,2020,t,22620.81,22620.81,0,0,2019-07-01 00:00:00,2019-12-31 00:00:00,f,t,REP,H,f
Robert Tucker,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-10-01 21:13:53,2019-09-24,2019-09-24,2019-09-24,H0TX11255,2020,2020,COMANCHE,TX,PO BOX 327,,76442,f,2020,H0TX11255,2020,2020,t,245,594.47,520.5,3829.97,2019-07-01 00:00:00,2019-09-30 00:00:00,f,t,REP,H,f
Wacey Alpha Cody,H,House,LIB,LIBERTARIAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-11-10 21:06:57,2019-03-07,2019-11-10,2019-11-10,H0TX11164,2020,2020,SAN ANGELO,TX,6491 COMANCHE TRAIL,,76901,f,2020,H0TX11164,2020,2020,t,0,0,0,0,,,f,f,LIB,H,f
Jeffrey Cady,H,House,IND,INDEPENDENT,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-11-26,2019-11-26,2019-11-26,H0TX11297,2020,2020,BRADY,TX,700 S. COLLEGE,,76825,f,2020,H0TX11297,2020,2020,t,0,0,0,0,,,f,f,IND,H,f
James Berryhill,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-10-01 21:13:53,2019-09-25,2019-09-25,2019-09-25,H0TX11248,2020,2020,ODESSA,TX,1213 W. 2ND,,79763,f,2020,H0TX11248,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
Mike Conaway,H,House,REP,REPUBLICAN PARTY,TX,11,11,"{19,11,11,11,11,11,11,11,11,11}","{2003,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-05-22 21:10:12,2002-12-13,2019-05-22,2019-05-22,H4TX19136,2020,2020,MIDLAND,TX,110 W LOUISIANA AVENUE,SUITE 312,797013414,f,2020,H4TX19136,2020,2020,t,435773.01,719009.75,815796.08,0,2019-01-01 00:00:00,2019-12-31 00:00:00,f,t,REP,H,f
J. Ross Lacy,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},C,C,Challenger,2019-10-29 21:19:43,2019-08-08,2019-08-08,2019-08-08,H0TX11172,2020,2020,MIDLAND,TX,PO BOX 3266,,79702,f,2020,H0TX11172,2020,2020,t,144336.03,10376.7,133959.33,18530,2019-07-01 00:00:00,2019-09-30 00:00:00,f,t,REP,H,f
Ned Luscombe,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-09-11 21:16:35,2019-09-03,2019-09-03,2019-09-03,H0TX11206,2020,2020,MIDLAND,TX,12133 WEST STATE HWY 158,,79707,f,2020,H0TX11206,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
Casey Gray,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,,,2020-01-13 21:15:04,2020-01-10,2020-01-10,2020-01-10,H0TX11305,2020,2020,ODESSA,TX,2416 STONER RD,,79764,f,2020,H0TX11305,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
James Faircloth,H,House,REP,REPUBLICAN PARTY,TX,11,11,{11},{2020},{2020},N,C,Challenger,2019-10-18 21:29:17,2019-10-07,2019-10-07,2019-10-07,H0TX11271,2020,2020,MIDLAND,TX,4112 SPRINGFIELD CT.,,79707,f,2020,H0TX11271,2020,2020,t,0,0,0,0,,,f,f,REP,H,f
